Shop Name,Link
Tech Heaven IT,https://www.google.com/maps/place/Tech+Heaven+IT/data=!4m7!3m6!1s0x3755c1b35d3e46e7:0x4cd5d001dba71c07!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11yhh9kdds!19sChIJ50Y-XbPBVTcRBxyn2wHQ1Uw?authuser=0&hl=bn&rclk=1
আব্দুল্লাহ কম্পিউটার সায়েন্স,https://www.google.com/maps/place/%E0%A6%86%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%81%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B9+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%B8%E0%A6%BE%E0%A7%9F%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3755c0d6ecd5451b:0xb3b7d2d055e4f367!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F1jkwd1fdv!19sChIJG0XV7NbAVTcRZ_PkVdDSt7M?authuser=0&hl=bn&rclk=1
Laptop Shop,https://www.google.com/maps/place/Laptop+Shop/data=!4m7!3m6!1s0x3755c100790d43bd:0x839d7334833478d6!8m2!3d23.8068404!4d90.368733!16s%2Fg%2F11ww9k2_5n!19sChIJvUMNeQDBVTcR1ng0gzRznYM?authuser=0&hl=bn&rclk=1
ও2 ট্রেড ইন্টারন্যাশনাল,https://www.google.com/maps/place/%E0%A6%932+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A1+%E0%A6%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B6%E0%A6%A8%E0%A6%BE%E0%A6%B2/data=!4m7!3m6!1s0x3755c0d6f3cc1b05:0x9b22bf70261e9cbc!8m2!3d23.8069168!4d90.3688461!16s%2Fg%2F11gfh_bzpr!19sChIJBRvM89bAVTcRvJweJnC_Ips?authuser=0&hl=bn&rclk=1
ফারুক ইট সলিউশন,https://www.google.com/maps/place/%E0%A6%AB%E0%A6%BE%E0%A6%B0%E0%A7%81%E0%A6%95+%E0%A6%87%E0%A6%9F+%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%89%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3755c186c51560b3:0x29e5aa26370f32de!8m2!3d23.8055631!4d90.3689697!16s%2Fg%2F11fjmg2586!19sChIJs2AVxYbBVTcR3jIPNyaq5Sk?authuser=0&hl=bn&rclk=1
৭৪৪/৩ গোল্ডেন পার্ক,https://www.google.com/maps/place/%E0%A7%AD%E0%A7%AA%E0%A7%AA%2F%E0%A7%A9+%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8+%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95/data=!4m7!3m6!1s0x3755c7ff1f34744f:0xbb09ea5f60168d3f!8m2!3d23.7960594!4d90.3794396!16s%2Fg%2F11v67hv058!19sChIJT3Q0H__HVTcRP40WYF_qCbs?authuser=0&hl=bn&rclk=1
Zoom Computer Laptop,https://www.google.com/maps/place/Zoom+Computer+Laptop/data=!4m7!3m6!1s0x3755c10011609ae5:0x10f4bac08d6e748e!8m2!3d23.8062534!4d90.3691562!16s%2Fg%2F11wx0kz5pq!19sChIJ5ZpgEQDBVTcRjnRujcC69BA?authuser=0&hl=bn&rclk=1
কম্পিউটার ক্যাসল,https://www.google.com/maps/place/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%B2/data=!4m7!3m6!1s0x3755c0d692c8058d:0xc6efcda65084cab8!8m2!3d23.8068552!4d90.3690349!16s%2Fg%2F11b7q2pm2s!19sChIJjQXIktbAVTcRuMqEUKbN78Y?authuser=0&hl=bn&rclk=1
এসকে কম্পিউটার,https://www.google.com/maps/place/%E0%A6%8F%E0%A6%B8%E0%A6%95%E0%A7%87+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0/data=!4m7!3m6!1s0x3755c12dfc243503:0xb8847ed4f72925a3!8m2!3d23.8131831!4d90.3696263!16s%2Fg%2F11r2hgmy_v!19sChIJAzUk_C3BVTcRoyUp99R-hLg?authuser=0&hl=bn&rclk=1
এ ত জেড টেকনোলজি,https://www.google.com/maps/place/%E0%A6%8F+%E0%A6%A4+%E0%A6%9C%E0%A7%87%E0%A6%A1+%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF/data=!4m7!3m6!1s0x3755c1b1e9090535:0xdf7e4b9539ee22cd!8m2!3d23.7976968!4d90.3530299!16s%2Fg%2F11h0spfbk6!19sChIJNQUJ6bHBVTcRzSLuOZVLft8?authuser=0&hl=bn&rclk=1
